x,y,pressure,azimuth,altitude,tangentPressure,time,Serial number
845,547,0,0,90,0,20:55:28:410,2
836,547,0,0,90,0,20:55:28:418,2
829,547,0,0,90,0,20:55:28:426,2
823,542,0,0,90,0,20:55:28:432,2
814,534,0,0,90,0,20:55:28:443,2
804,520,0,0,90,0,20:55:28:447,2
794,490,0,0,90,0,20:55:28:456,2
790,455,0,0,90,0,20:55:28:462,2
791,420,0,0,90,0,20:55:28:471,2
801,383,0,0,90,0,20:55:28:478,2
821,340,0,0,90,0,20:55:28:492,2
845,303,0,0,90,0,20:55:28:494,2
875,274,0,0,90,0,20:55:28:501,2
909,250,0,0,90,0,20:55:28:507,2
950,235,0,0,90,0,20:55:28:516,2
990,226,0,0,90,0,20:55:28:524,2
1065,235,0,0,90,0,20:55:28:538,2
1092,253,0,0,90,0,20:55:28:547,2
1109,272,0,0,90,0,20:55:28:553,2
1118,288,0,0,90,0,20:55:28:561,2
1124,302,0,0,90,0,20:55:28:571,2
1125,317,0,0,90,0,20:55:28:576,2
1125,328,0,0,90,0,20:55:28:584,2
1123,339,0,0,90,0,20:55:28:592,2
1120,346,0,0,90,0,20:55:28:600,2
1116,353,0,0,90,0,20:55:28:606,2
1109,363,0,0,90,0,20:55:28:614,2
1099,372,0,0,90,0,20:55:28:621,2
1075,387,0,0,90,0,20:55:28:629,2
1042,404,0,0,90,0,20:55:28:637,2
1014,415,0,0,90,0,20:55:28:650,2
985,426,0,0,90,0,20:55:28:652,2
961,433,0,0,90,0,20:55:28:659,2
941,438,0,0,90,0,20:55:28:668,2
933,439,0,0,90,0,20:55:28:681,2
930,440,0,0,90,0,20:55:28:682,2
929,440,0,0,90,0,20:55:28:689,2
939,439,0,0,90,0,20:55:28:746,2
954,440,0,0,90,0,20:55:28:750,2
969,443,0,0,90,0,20:55:28:757,2
990,446,0,0,90,0,20:55:28:764,2
